nursing_home_label,city,county,state,latitude,longitude,location_type,partial_match
Fletcher Health And Rehabilitation Center,Tampa,Hillsborough,florida,28.068884,-82.46500999999999,ROOFTOP,True
Greenbriar Healthcare Rehabilitation And Nursing Center,Bradenton,Manatee,florida,27.4989278,-82.5748194,APPROXIMATE,True
Hamlin Place Of Boynton Beach,Lantana,Palm Beach,florida,26.5715476,-80.0773166,ROOFTOP,True
Harbor Beach Nursing And Rehabilitation Center,Ft Lauderdale,Broward,florida,26.101536,-80.13442,ROOFTOP,True
Hawthorne Center For Rehabilitation And Healing Of Brandon,Brandon,Hillsborough,florida,27.9215612,-82.29859189999999,ROOFTOP,True
Heather Hill Healthcare Center,New Port Richey,Pasco,florida,28.256396,-82.704793,ROOFTOP,True
Heritage Healthcare And Rehabilitation Center,Naples,Collier,florida,26.1569665,-81.7975958,ROOFTOP,True
Highlands Lake Center,Lakeland,Polk,florida,27.988199,-81.92223899999999,ROOFTOP,True
Jupiter Rehabilitation And Healthcare Center,Jupiter,Palm Beach,florida,26.9384082,-80.1274377,ROOFTOP,True
Kissimmee Health And Rehabilitation Center,Kissimmee,Osceola,florida,28.2974799,-81.4045876,ROOFTOP,True
Lakeside Oaks Care Center,Dunedin,Pinellas,florida,28.011774,-82.77011999999999,ROOFTOP,True
Legacy At Boca Raton Rehabilitation And Nursing Center (The),Boca Raton,Palm Beach,florida,26.3604494,-80.1441576,ROOFTOP,True
Life Care Center At Inverrary,Lauderhill,Broward,florida,26.1778458,-80.22092119999999,ROOFTOP,True
Life Care Center Of Altamonte Springs,Altamonte Springs,Seminole,florida,28.661558,-81.3587842,ROOFTOP,True
Life Care Center Of Sarasota,Sarasota,Manatee,florida,27.3949448,-82.51449869999999,ROOFTOP,True
Nspire Healthcare Plantation,Plantation,Broward,florida,26.149332,-80.24344599999999,ROOFTOP,True
Oaks Of Clearwater,Clearwater,Pinellas,florida,27.9617502,-82.8030112,ROOFTOP,True
Oldsmar Health And Rehabilitation Center,Oldsmar,Pinellas,florida,28.0341847,-82.6650992,APPROXIMATE,True
Palm Garden Of Tampa,Tampa,Hillsborough,florida,28.0734667,-82.4191443,ROOFTOP,True
Palms Of Sebring,Sebring,Highlands,florida,27.4923892,-81.44109290000002,ROOFTOP,True
Promedica Skilled Nursing And Rehabilitation (Boca Raton South),Boca Raton,Palm Beach,florida,26.3645535,-80.174524,GEOMETRIC_CENTER,True
Promedica Skilled Nursing And Rehabilitation (Dunedin),Dunedin,Pinellas,florida,-45.8795455,170.5005957,APPROXIMATE,True
Rehabilitation And Healthcare Center Of Tampa,Tampa,Hillsborough,florida,27.975792,-82.433016,ROOFTOP,True
Renaissance Health And Rehabilitation,West Palm Beach,Palm Beach,florida,26.68176,-80.121376,ROOFTOP,True
Ridge Haven Health And Rehabilitation Center,New Port Richey,Pasco,florida,28.230647,-82.70352059999999,ROOFTOP,True
Rio Pinar Health Care,Orlando,Orange,florida,28.537546,-81.27870999999999,ROOFTOP,True
Riviera Palms Rehabilitation Center,Palmetto,Manatee,florida,27.519521,-82.5514157,ROOFTOP,True
Royal Oaks Nursing And Rehab Center,Titusville,Brevard,florida,28.5715002,-80.82870849999999,ROOFTOP,True
Scott Lake Health And Rehabilitation,Lakeland,Polk,florida,27.9543258,-81.9530395,ROOFTOP,True
Solaris Healthcare Bayonet Point,Hudson,Pasco,florida,28.3368786,-82.6956743,ROOFTOP,True
Stratford Court Of Boca Raton,Boca Raton,Palm Beach,florida,26.3307338,-80.1443412,ROOFTOP,True
"Tamarac Rehabilitation And Health Center, Inc.",Tamarac,Broward,florida,26.2194448,-80.2743062,ROOFTOP,True
Terrace Of St Cloud,Saint Cloud,Osceola,florida,28.233587,-81.31694519999999,ROOFTOP,True
The Gardens At Depugh Nursing,Winter Park,Orange,florida,28.5974266,-81.35647879999999,ROOFTOP,True
Valencia Hills Health And Rehabilitation Center,Lakeland,Polk,florida,28.096178,-81.9785995,ROOFTOP,True
Vista Manor,Titusville,Brevard,florida,28.627728,-80.819466,ROOFTOP,True
Westminster Manor Of Bradenton,Bradenton,Manatee,florida,27.4818126,-82.57907399999999,ROOFTOP,True
Winter Garden Rehabilitation And Nursing Center,Winter Garden,Orange,florida,28.5518098,-81.5705102,ROOFTOP,True
Wright'S Healthcare & Rehabilitation Center,Seminole,Pinellas,florida,27.8726081,-82.7960128,ROOFTOP,True
