ST_CASE,STATENAME,LATITUDE,LONGITUD,FATALS,V_CONFIGNAME,year
490070,Utah,40.12303333,-111.6436,1,Truck Tractor/Semi-Trailer,2022
490076,Utah,40.55878056,-111.8906028,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2022
490104,Utah,40.35148056,-110.1885194,1,Single-Unit Truck (3 or more axles),2022
490108,Utah,40.74131389,-113.9490472,1,Truck Tractor/Semi-Trailer,2022
490110,Utah,37.09306111,-113.1165833,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2022
490113,Utah,40.67300833,-111.8411667,1,Truck Tractor/Semi-Trailer,2022
490148,Utah,40.83763056,-111.9340139,1,Truck Pulling Trailer(s),2022
490150,Utah,37.14073889,-113.4853972,1,Truck Tractor/Double,2022
490155,Utah,38.04078056,-112.5505806,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2022
490158,Utah,40.62540833,-111.7431417,1,Single-Unit Truck (3 or more axles),2022
490171,Utah,41.13872222,-112.02525,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2022
490185,Utah,38.44098889,-109.430075,1,Truck Pulling Trailer(s),2022
490191,Utah,40.08286944,-111.5907194,1,Truck Tractor/Semi-Trailer,2022
490195,Utah,38.83562222,-109.7897639,1,Truck Tractor/Semi-Trailer,2022
490204,Utah,40.24118056,-111.1816,1,Truck Tractor/Semi-Trailer,2022
490207,Utah,41.31968611,-112.0265444,1,Truck Tractor/Semi-Trailer,2022
490213,Utah,40.69973056,-111.9012694,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2022
490214,Utah,41.6865,-112.1544972,1,Truck Tractor/Semi-Trailer,2022
490217,Utah,38.54844444,-109.5231667,1,Truck Pulling Trailer(s),2022
490226,Utah,40.01336944,-111.4916722,1,Truck Tractor/Semi-Trailer,2022
490227,Utah,38.39379444,-109.4529778,1,Truck Tractor/Semi-Trailer,2022
490231,Utah,39.3395,-111.5109778,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2022
490238,Utah,40.35606944,-111.2808806,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2022
490243,Utah,37.51775,-112.7118944,1,Truck Pulling Trailer(s),2022
490247,Utah,40.63018889,-111.8684611,1,Truck Tractor/Semi-Trailer,2022
490249,Utah,40.41352222,-111.9232222,1,Single-Unit Truck (3 or more axles),2022
490254,Utah,40.15789722,-111.5846667,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",2022
490261,Utah,40.84366389,-111.9152,1,Truck Tractor/Semi-Trailer,2022
490268,Utah,39.92809167,-111.0752389,1,Truck Pulling Trailer(s),2022
490286,Utah,37.12896389,-109.9006389,1,Truck Tractor/Semi-Trailer,2022
490288,Utah,41.78208889,-112.0243194,1,Truck Tractor/Semi-Trailer,2022
490290,Utah,41.73509444,-111.8349917,1,Single-Unit Truck (3 or more axles),2022
490301,Utah,40.68218056,-112.0302306,1,Truck Tractor/Semi-Trailer,2022
