route,county,location,time,latitude,longitude,type
1800 N,Davis County,1800 N at 2000 W,"12/29/23, 3:38 PM",41.139868,-112.064454,Crash
I-15,Davis County,I-15 at MP 318,"12/29/23, 3:08 PM",40.900348,-111.893142,Crash
Cross Hollow Rd,Iron County,Cross Hollow Rd at I-15 NB Fwy,"12/29/23, 2:48 PM",37.655018,-113.08421,Crash
I-80,Salt Lake County,I-80 at MP 132,"12/29/23, 2:32 PM",40.741134,-111.741641,Crash
I-15,Davis County,I-15 at MP 324,"12/29/23, 2:20 AM",40.985152,-111.899709,Crash
Hwy 118,Sevier County,Hwy 118 at Venice Center St,"12/29/23, 12:44 AM",38.798524,-112.032924,Crash
I-84,Weber County,I-84 at MP 90,"12/29/23, 12:29 PM",41.138009,-111.872556,Crash
I-15,Salt Lake County,I-15 at MP 286,"12/29/23, 12:08 PM",40.453646,-111.91388,Crash
I-15,Juab County,I-15 at MP 220,"12/29/23, 12:01 PM",39.659286,-111.8838,Lane Closure
I-70,Grand County,I-70 at MP 212,"12/29/23, 11:25 PM",39.009443,-109.309388,Vehicle Fire
I-15,Beaver County,I-15 at MP 117,"12/29/23, 11:24 PM",38.368449,-112.66265,Vehicle Fire
I-15,Salt Lake County,I-15 at MP 303,"12/29/23, 10:22 PM",40.693589,-111.902881,Crash
US 6,Carbon County,US 6 at MP 235,"12/28/23, 9:59 PM",39.658837,-110.860727,Crash
I-15 NB X301 On 4500 S Ramp,Salt Lake County,I-15 NB X301 On 4500 S Ramp at 4500 S,"12/28/23, 9:40 AM",40.675355,-111.900891,Crash
US 189,Wasatch County,US 189 at MP 16,"12/28/23, 9:33 PM",40.388104,-111.54897,Crash
SR 167,Weber County,SR 167 at MP 8,"12/28/23, 9:32 AM",41.216493,-111.80138,Crash
SR 248,Wasatch County,SR 248 at MP 8,"12/28/23, 9:23 AM",40.641218,-111.397599,Crash
Redwood Rd,Salt Lake County,Redwood Rd at 2300 N,"12/28/23, 8:55 AM",40.812626,-111.938598,Crash
800 W,Davis County,800 W at 500 S,"12/28/23, 8:32 PM",40.884189,-111.902107,Crash
Main St,Iron County,Main St at Coal Creek Rd,"12/28/23, 8:22 PM",37.687897,-113.061934,Crash
SR 26,Weber County,SR 26 at MP 1,"12/28/23, 7:53 PM",41.174994,-112.009519,Crash
SR 118,Sevier County,SR 118 at MP 10,"12/28/23, 7:52 PM",38.687864,-112.121657,Crash
SR 248,Summit County,SR 248 at MP 12,"12/28/23, 7:16 PM",40.638861,-111.327841,Crash
SR 201,Salt Lake County,SR 201 at MP 2,"12/28/23, 7:15 AM",40.727579,-112.186092,Crash
Washington Blvd,Weber County,Washington Blvd at 21st St,"12/28/23, 7:00 AM",41.229029,-111.970318,Crash
I-84,Box Elder County,I-84 at MP 21,"12/28/23, 6:43 AM",41.880758,-112.478311,Crash
I-15,Iron County,I-15 at MP 57,"12/28/23, 6:26 PM",37.654314,-113.082592,Crash
