route,county,location,time,latitude,longitude,type
I-15,Davis County,I-15 at MP 315,"1/10/24, 6:02 PM",40.85851,-111.904912,Crash
I-15,Utah County,I-15 at MP 269,"1/10/24, 6:03 PM",40.274259,-111.718248,Crash
I-15,Utah County,I-15 at MP 272,"1/10/24, 6:04 PM",40.316406,-111.72616,Crash
I-15,Utah County,I-15 at MP 285,"1/10/24, 6:06 PM",40.442142,-111.903011,Crash
I-80,Salt Lake County,I-80 at MP 115,"1/10/24, 6:07 PM",40.765165,-111.991516,Crash
I-215 S,Salt Lake County,I-215 S at MP 10,"1/10/24, 6:11 AM",40.63036,-111.877391,Crash
I-15,Juab County,I-15 at MP 224,"1/10/24, 6:12 PM",39.694255,-111.825785,Crash
I-15,Salt Lake County,I-15 at MP 305,"1/10/24, 6:12 PM",40.722344,-111.904691,Crash
I-80,Salt Lake County,I-80 at MP 126,"1/10/24, 6:12 PM",40.717537,-111.836246,Stalled Vehicle
I-15,Salt Lake County,I-15 at MP 306,"1/10/24, 6:18 PM",40.736823,-111.90475,Crash
I-15,Salt Lake County,I-15 at MP 308,"1/10/24, 6:19 PM",40.763745,-111.914284,Crash
I-215 W,Salt Lake County,I-215 W at MP 23,"1/10/24, 6:31 PM",40.775011,-111.949343,Crash
I-15 SB X265 On Ramp,Utah County,I-15 SB X265 On Ramp at Center St,"1/10/24, 6:40 AM",40.230396,-111.681974,Crash
MOUNTAIN VIEW CORRIDOR HWY,Salt Lake County,MOUNTAIN VIEW CORRIDOR HWY at 4100 S,"1/10/24, 6:47 PM",40.681834,-112.031469,Weather
I-15,Salt Lake County,I-15 at MP 304,"1/10/24, 6:48 PM",40.707874,-111.90397,Crash
I-15 NB X 293 Off 10600 S Ramp,Salt Lake County,I-15 NB X 293 Off 10600 S Ramp at 10600 S,"1/10/24, 7:03 AM",40.554383,-111.896936,Crash
I-215 W,Salt Lake County,I-215 W at MP 23,"1/10/24, 7:03 PM",40.775011,-111.949343,Crash
I-15,Utah County,I-15 at MP 277,"1/10/24, 7:05 AM",40.365209,-111.792922,Crash
REDWOOD RD,Utah County,REDWOOD RD at 2100 N,"1/10/24, 7:05 PM",40.413082,-111.923091,Weather
I-15,Salt Lake County,I-15 at MP 303,"1/10/24, 7:10 PM",40.693589,-111.902881,Crash
I-15,Utah County,I-15 at MP 278,"1/10/24, 7:15 AM",40.373184,-111.808465,Crash
I-80,Salt Lake County,I-80 at MP 108,"1/10/24, 7:15 PM",40.771064,-112.124659,Crash
I-215 W,Salt Lake County,I-215 W at MP 23,"1/10/24, 7:21 PM",40.775011,-111.949343,Crash
I-15,Salt Lake County,I-15 at MP 311,"1/10/24, 7:22 PM",40.804836,-111.922481,Crash
I-15,Salt Lake County,I-15 at MP 291,"1/10/24, 7:28 AM",40.52103,-111.891246,Crash
I-15,Salt Lake County,I-15 at MP 295,"1/10/24, 7:29 PM",40.578741,-111.900284,Crash
US 189,Wasatch County,US 189 at MP 18,"1/10/24, 7:33 AM",40.405503,-111.524184,Crash
US 191,Duchesne County,US 191 at MP 266,"1/10/24, 7:39 PM",39.878327,-110.755233,Weather
I-15,Juab County,I-15 at MP 208,"1/10/24, 7:44 PM",39.501581,-111.966452,Crash
I-15,Salt Lake County,I-15 at MP 293,"1/10/24, 7:54 PM",40.550055,-111.896336,Crash
I-15,Salt Lake County,I-15 at MP 301,"1/10/24, 7:56 PM",40.664677,-111.90152,Crash
SR 201,Salt Lake County,SR 201 at MP 13,"1/10/24, 8:02 PM",40.725733,-111.982034,Crash
I-15,Salt Lake County,I-15 at MP 301,"1/10/24, 8:04 PM",40.664677,-111.90152,Crash
I-15 SB X265 Off Center St Ramp,Utah County,I-15 SB X265 Off Center St Ramp at Center St,"1/10/24, 8:06 AM",40.236691,-111.687843,Crash
HARRISON BLVD,Weber County,HARRISON BLVD 2200,"1/10/24, 8:17 AM",41.22304,-111.948209,Crash
US 6,Utah County,US 6 at MP 180,"1/10/24, 8:18 PM",40.058914,-111.564458,Roadway Restriction
I-15,Utah County,I-15 at MP 242,"1/10/24, 8:36 PM",39.945085,-111.807481,Crash
I-15,Salt Lake County,I-15 at MP 307,"1/10/24, 8:37 PM",40.74966,-111.90976,Crash
I-215 W,Salt Lake County,I-215 W at MP 23,"1/10/24, 8:40 PM",40.775011,-111.949343,Crash
I-15,Utah County,I-15 at MP 273,"1/10/24, 8:45 AM",40.328045,-111.73498,Crash
I-215 S,Salt Lake County,I-215 S at MP 8,"1/10/24, 8:51 AM",40.631583,-111.839435,Crash
I-15,Utah County,I-15 at MP 270,"1/10/24, 8:51 PM",40.287343,-111.725712,Crash
I-15,Juab County,I-15 at MP 230,"1/10/24, 8:52 PM",39.775857,-111.839015,Crash
I-215 W,Salt Lake County,I-215 W at MP 23,"1/10/24, 8:58 PM",40.775011,-111.949343,Crash
I-15,Juab County,I-15 at MP 233,"1/10/24, 9:00 PM",39.81888,-111.833832,Crash
I-80,Salt Lake County,I-80 at MP 126,"1/10/24, 9:00 PM",40.717537,-111.836246,Crash
I-15,Utah County,I-15 at MP 247,"1/10/24, 9:01 PM",40.005686,-111.762644,Crash
I-15,Utah County,I-15 at MP 267,"1/10/24, 9:13 AM",40.251153,-111.695664,Crash
I-15 SB X288 OFF 14600 S EB RAMP,Salt Lake County,I-15 SB X288 OFF 14600 S EB RAMP at HIGHLAND DR,"1/10/24, 9:13 PM",40.484671,-111.899426,Crash
I-80,Tooele County,I-80 at MP 94,"1/10/24, 9:15 AM",40.662601,-112.338265,Crash
I-15,Salt Lake County,I-15 at MP 304,"1/10/24, 9:15 PM",40.707874,-111.90397,Crash
US 40,Wasatch County,US 40 at MP 58,"1/10/24, 9:20 AM",40.200198,-110.909422,Crash
I-15,Salt Lake County,I-15 at MP 301,"1/10/24, 9:21 PM",40.664677,-111.90152,Crash
US 6,Utah County,US 6 at MP 209,"1/10/24, 9:23 PM",39.933221,-111.107262,Crash
I-15,Salt Lake County,I-15 at MP 292,"1/10/24, 9:40 PM",40.53585,-111.892927,Stalled Vehicle
SR 36,Tooele County,SR 36 at MP 42,"1/10/24, 9:43 AM",40.375413,-112.394364,Vehicle Fire
I-15,Salt Lake County,I-15 at MP 292,"1/10/24, 9:52 AM",40.53585,-111.892927,Crash
I-15,Utah County,I-15 at MP 278,"1/10/24, 9:59 PM",40.373184,-111.808465,Crash
