dataId,type,route,county,location,description,startTime,anticipatedEndTime,lastUpdated,extraColumn,latitude,longitude
UT-Incident--176856,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Right  Lanes Closed
Est. Clearance Time: 4:08 PM","3/18/24, 3:09 PM","3/18/24, 4:08 PM","3/18/24, 3:56 PM",,40.722344,-111.904691
UT-Incident--176909,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 6:36 PM","3/19/24, 5:36 PM","3/19/24, 6:36 PM","3/19/24, 5:36 PM",,40.722344,-111.904691
UT-Incident--176985,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 6:37 PM","3/21/24, 5:38 PM","3/21/24, 6:37 PM","3/21/24, 5:38 PM",,40.722344,-111.904691
UT-Incident--177119,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Lanes Closed
Est. Clearance Time: 9:20 AM","3/24/24, 8:21 AM","3/24/24, 9:20 AM","3/24/24, 8:29 AM",,40.722344,-111.904691
UT-Incident--177123,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 10:25 AM","3/24/24, 8:36 AM","3/24/24, 10:25 AM","3/24/24, 9:53 AM",,40.722344,-111.904691
UT-Incident--177125,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Lane Closed
Est. Clearance Time: 9:50 AM","3/24/24, 8:46 AM","3/24/24, 9:50 AM","3/24/24, 8:46 AM",,40.722344,-111.904691
UT-Incident--177120,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Lane Closed
Est. Clearance Time: 11:41 AM","3/24/24, 8:28 AM","3/24/24, 11:41 AM","3/24/24, 10:27 AM",,40.722344,-111.904691
UT-Incident--177434,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 3:15 PM","3/29/24, 2:16 PM","3/29/24, 3:15 PM","3/29/24, 2:16 PM",,40.722344,-111.904691
UT-Incident--177617,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Lane Closed
Est. Clearance Time: 2:50 PM","4/4/24, 1:50 PM","4/4/24, 2:50 PM","4/4/24, 1:58 PM",View on map,40.722344,-111.904691
UT-Incident--177633,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (Collector) Salt Lake Co.
Right Lanes Closed
Est. Clearance Time: 8:00 PM","4/4/24, 6:51 PM","4/4/24, 8:00 PM","4/4/24, 6:51 PM",View on map,40.722344,-111.904691
UT-Incident--177635,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 10:32 PM","4/4/24, 9:32 PM","4/4/24, 10:32 PM","4/4/24, 9:32 PM",View on map,40.722344,-111.904691
UT-Incident--177675,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Left Lane Closed
Est. Clearance Time: 8:11 AM","4/6/24, 7:11 AM","4/6/24, 8:11 AM","4/6/24, 7:11 AM",,40.722344,-111.904691
UT-Incident--177827,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 off ramp (2100 S) Salt Lake Co.
Right Shoulder and Right Lane
Est. Clearance Time: 12:00 PM","4/10/24, 10:54 AM","4/10/24, 12:00 PM","4/10/24, 10:58 AM",,40.722344,-111.904691
UT-Incident--177903,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
NB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 7:15 PM","4/12/24, 6:05 PM","4/12/24, 7:15 PM","4/12/24, 6:05 PM",,40.722344,-111.904691
UT-Incident--178033,Incidents,I-15,Salt Lake County,I-15 at MP 305,"Crash
SB I-15 at MP 305 (2100 S) Salt Lake Co.
Right Shoulder
Est. Clearance Time: 5:45 PM","4/16/24, 4:39 PM","4/16/24, 5:45 PM","4/16/24, 4:55 PM",,40.722344,-111.904691
