ST_CASE,CITY,DAY,MONTH,YEAR,HOUR,ROUTE,LATITUDE,LONGITUD,REL_ROAD,FATALS,HARM_EV,TWAY_ID,BODY_TYP_1,BODY_TYP_2,BODY_TYP_3,BODY_TYP_4,BODY_TYP_5,BODY_TYP_1_TEXT,BODY_TYP_2_TEXT,BODY_TYP_3_TEXT,BODY_TYP_4_TEXT,BODY_TYP_5_TEXT,HARM_EV_TEXT
490145,9997,7,8,2017,16,3,40.91462778,-109.6782,4,2,39,SR-44,20,,,,,Van,,,,,Hit object
490016,0,9,1,2017,13,2,40.32475556,-109.6822306,1,1,12,US-40,34,34,,,,Pickup truck,Pickup truck,,,,Hit other vehicle
490234,9999,22,10,2019,13,2,40.29812222,-109.6873194,3,1,25,US-88,99,,,,,Other,,,,,Hit object
490091,0,25,7,2012,17,5,40.22236944,-109.6873472,5,1,1,5500 S,4,,,,,Car,,,,,Rollover
490055,0,16,4,2015,23,3,37.28457222,-109.6959,4,1,34,SR-163,14,,,,,SUV,,,,,Hit ditch
490195,0,13,12,2012,16,2,40.3165,-109.6978722,1,1,12,US-40,4,4,,,,Car,Car,,,,Hit other vehicle
490010,0,18,1,2017,19,3,38.71319167,-109.7041472,4,1,1,SR-191,66,,,,,Semi truck,,,,,Rollover
490226,1170,18,11,2017,17,2,38.71739444,-109.7077194,1,1,12,US-191,4,20,,,,Car,Van,,,,Hit other vehicle
490211,1030,5,8,2022,22,6,40.95733056,-109.7118889,4,1,1,ARROWHEAD LN,96,,,,,Other,,,,,Rollover
490031,1170,3,3,2018,21,3,38.722,-109.71545,1,1,8,SR-191,66,,,,,Semi truck,,,,,Hit pedestrian
490149,1925,22,7,2022,7,1,38.96231389,-109.7209722,4,1,52,I-70,4,,,,,Car,,,,,Hit object
490187,0,2,11,2014,0,2,38.77178611,-109.7471889,4,1,1,US-191,4,,,,,Car,,,,,Rollover
490208,1200,12,10,2017,14,4,38.46022778,-109.74745,5,1,17,CR-142,80,,,,,Motorcycle,,,,,Hit object
490216,1111,29,12,2019,17,3,37.24884722,-109.7634389,1,1,8,SR-163,34,,,,,Pickup truck,,,,,Hit pedestrian
490002,0,3,1,2017,4,2,37.24398889,-109.7767028,4,2,1,US-163,14,,,,,SUV,,,,,Rollover
490195,1170,3,9,2022,2,2,38.83562222,-109.7897639,1,1,12,US-191,34,66,,,,Pickup truck,Semi truck,,,,Hit other vehicle
490150,1567,14,4,2013,10,4,40.230975,-109.7898806,1,1,1,CR-2762,4,,,,,Car,,,,,Rollover
490236,9997,15,11,2017,17,5,38.90340833,-109.7931361,1,1,1,VALLEY CITY RD,14,,,,,SUV,,,,,Rollover
490042,9997,3,3,2022,21,2,38.86292778,-109.8072583,1,1,12,US-191,14,66,,,,SUV,Semi truck,,,,Hit other vehicle
490262,1170,14,12,2021,4,2,38.90611944,-109.8143667,1,2,12,US-191,66,66,,,,Semi truck,Semi truck,,,,Hit other vehicle
490228,9999,26,9,2019,99,3,37.22217222,-109.8231028,99,1,8,SR-163,99,,,,,Other,,,,,Hit pedestrian
490174,0,25,11,2012,3,5,40.36022778,-109.8262722,4,1,1,4000 N,3,,,,,Car,,,,,Rollover
490182,1111,22,7,2019,14,3,37.21815,-109.8287889,4,1,1,SR-163,34,,,,,Pickup truck,,,,,Rollover
490077,9997,5,4,2015,18,2,40.30197778,-109.8370944,4,1,1,US-40,14,,,,,SUV,,,,,Rollover
490124,1567,3,6,2015,7,5,40.23300556,-109.8434694,1,1,12,4750 SOUTH,15,97,,,,SUV,Other,,,,Hit other vehicle
490156,507,16,8,2015,9,5,40.29085278,-109.8557028,1,1,8,8100 EAST,31,,,,,Pickup truck,,,,,Hit pedestrian
490113,507,27,8,2019,13,2,40.30191667,-109.8577,1,1,12,US-40,34,34,14,6,4,Pickup truck,Pickup truck,SUV,Car,Car,Hit other vehicle
490172,507,25,9,2020,16,4,40.22266944,-109.8594306,4,1,5,CR-88,34,,,,,Pickup truck,,,,,Fell out
490120,507,17,9,2019,15,2,40.30186667,-109.8604722,1,1,12,US-40,2,66,,,,Car,Semi truck,,,,Hit other vehicle
490067,1567,24,5,2020,4,6,40.19658333,-109.8844944,2,1,1,7250 SOUTH,34,,,,,Pickup truck,,,,,Rollover
490220,620,26,10,2016,20,1,38.92829167,-109.8871083,3,1,1,I-70,14,,,,,SUV,,,,,Rollover
490082,0,21,5,2015,23,3,37.54241389,-109.890075,1,1,11,SR-261,30,,,,,Pickup truck,,,,,Hit object
490218,507,1,12,2014,23,5,40.27994444,-109.8971278,4,1,30,5500 E,4,,,,,Car,,,,,Hit object
490224,2116,18,9,2016,10,5,40.50764444,-109.8974667,4,2,21,WHITE ROCKS ROAD,99,,,,,Other,,,,,Hit object
490286,1111,1,11,2022,12,2,37.12896389,-109.9006389,1,1,12,US-163,4,66,,,,Car,Semi truck,,,,Hit other vehicle
490302,2116,20,10,2022,3,5,40.468025,-109.9108167,4,2,38,11500 N,4,,,,,Car,,,,,Hit object
490176,1111,5,9,2021,23,3,37.12831944,-109.9146972,4,1,1,SR-163,2,,,,,Car,,,,,Rollover
490052,507,13,4,2015,16,5,40.24384167,-109.9154333,1,1,5,4000 SOUTH,92,,,,,Farm or construction equipment,,,,,Fell out
490111,0,26,6,2014,6,5,40.26475278,-109.9158694,4,1,34,4500 E,80,,,,,Motorcycle,,,,,Hit ditch
490039,0,12,4,2014,14,3,40.410975,-109.9163556,1,1,1,SR-121,30,,,,,Pickup truck,,,,,Rollover
490124,0,20,7,2017,18,1,38.9234,-109.9189722,2,1,1,I-70,4,,,,,Car,,,,,Rollover
490087,0,21,6,2014,16,5,40.4332,-109.9288972,5,1,41,WHITEROCKS RD,80,,,,,Motorcycle,,,,,Hit object
490157,2116,12,8,2018,6,3,40.45511111,-109.9366306,4,1,25,SR-121,6,,,,,Car,,,,,Hit object
490222,1111,16,9,2022,16,3,37.40208611,-109.9449778,4,1,1,SR-261,15,,,,,SUV,,,,,Rollover
490018,9997,10,2,2021,11,6,40.24799167,-109.9665944,4,1,35,3750 S,4,,,,,Car,,,,,Hit ditch
490119,1640,4,8,2012,16,2,40.30210833,-109.9768667,1,1,12,US-40,4,80,,,,Car,Motorcycle,,,,Hit other vehicle
490169,620,30,7,2021,17,1,38.92568056,-109.9827167,3,1,31,I-70,34,,,,,Pickup truck,,,,,Hit object
490137,1640,30,7,2021,2,2,40.29651389,-109.9889444,4,1,33,US-40/191,20,,,,,Van,,,,,Hit object
490266,1640,7,12,2021,15,6,40.29815,-109.9918472,1,1,15,STATE STREET,15,,,,,SUV,,,,,Hit pedestrian
490057,0,6,6,2013,17,1,38.9262,-109.99335,3,1,31,I-70,4,,,,,Car,,,,,Hit object
490299,350,18,12,2021,6,6,40,-110,4,1,1,EAST RIVER RD,15,,,,,SUV,,,,,Rollover
